교육,"education, training, schooling"
자가용,"one's own car, private/personal car"
승용차,"passenger car, sedan"
승객,passenger
트럭,truck
오토바이,"motorcycle, scooter"
자전거,bicycle
취미,hobby
춤,dance
춤을 추,dancing
무용,dance (formal); uselessness; military arts
탈춤,masked dance
예술,art (broad)
작품,"piece of artwork (music, literature, etc); product"
미술,fine art
등산,"hiking, mountain climbing"
낚시,"fishing, fishing gear; seduction"
음악,music
음악가,musician
가수,singer
가사,"lyrics; housework, chores"
노래,song
곡,"tune, piece of music, song (sino)"
가요,"pop song, kpop"
클래식,classic (al music)
가곡,"traditional song, classical song (old)"
아리랑,"traditional Korean song ""Arirang"""
재즈,jazz
피아노,piano
악기,musical instrument
기타,guitar; etc
스포츠,sports
게임,game
경쟁,"competition, contest, rivalry"
경쟁사,"competitor, rival company"
도전,challenge
올림픽,Olympics
노래자랑,singing contest
승자,winner
팀,team
선수,"player, athlete, professional, master; lead (action before others)"
운동장,"field, (sports) stadium (smaller); playground"
경기장,sports stadium (bigger)
경기,"game, match, event; economy, business; convulsion"
놀이,"play, game, entertainment"
장난,"game, playing (for fun); joke, trick (behavior)"
수영,"swimming, bathing, swim"
농구,basketball
야구,baseball
축구,football (soccer); idiot
테니스,tennis
탁구,table tennis
배구,volleyball
골프,golf
볼링,bowling
배드민턴,badminton
스키,"skiing, skis"
스케이트,"skates, skating"
태권도,Taekwondo
권투,boxing
윶놀이,yut (game 4 sticks)
훈련,"training, practice, discipline (receive some sort of training/military or physical training)"
연습실,practice room
수영장,swimming pool
노래방,karaoke room
소풍,"picnic, trip, outing"
파티,party (social gathering)
송별회,farewell party
잔치,"party, feast, banquet"
집들이,housewarming party
초대장,(written) invitation
공연,"public performance, concert, show"
전시회,"exhibition, show, display"
시상식,awards ceremony
예식장,"ceremony hall, wedding hall"
졸업식,graduation/commencement ceremony
코미디,comedy
축제,"festival, carnival"
놀이기구,amusement park rides
놀이공원,amusement park
음악회,(sino) concert
콘서트,concert
오페라,opera
대회,"mass meeting, convention; contest, tournament, competition(where many people gather)"
경주,"race, run, sprint; Gyeongju"
마라톤,marathon
밖,"outside, out, exterior (can be abstract)"
바깥,"outside, the open, exterior (can be descriptive)"
실외,"outdoors, outside the room or house"
겉,"the outside, exterior (of something), surface"
외부,"the outside, the exterior (more common as a standalone noun rather than being associated directly with a verb)"
안,"inside, within; not; proposal"
속,inside; heart
실내,"indoors; inside the room, interior"
내부,inner space of an object
재미,fun
퍼즐,puzzle
공,"ball, zero (sino); contribution, credit"
과다,excessive
피곤,"fatigue, tired, exhausted"
운동,exercise
활동,"activity, movement; effort, campaign"
스트레스,"stress, strain"
압력,"pressure (general), strain"
고민,"worry, trouble, concern (inner)"
신경,"nerves; care, concern"
마사지,massage
상처,"injury, wound, cut, bruise; scar; losing one's wife"
부상,"injury, wound; prize; emergence, floating"
피해,"damage, harm (physical, reputation, property, money)"
아픔,"pain, ache, suffering; sorrow, grief, distress; sick"
고통,"pain, suffering, agony, torture (physical or mental)"
통증,"pain, ache (physical)"
피곤,"fatigue, exhaustion, tired"
힘,"force, strength, energy; authority, power, influence, effort"
폭력,"violence, force"
에너지,"energy, power"
기운,"energy, vitality, strength, force; atmosphere, air, feeling; effect, influence, touch"
노력,effort
화,"anger; disaster, misfortune"
겁,"fear, scared, dread, terror"
공포,"(abstract/not in the mind) fear, terror, fright, panic, horror; proclamation, make public, announcement"
신나,excited
열심히,"diligently, passionately"
신나는,exciting
동작,"movement, motion; working (properly)"
움직임,"movement, motion, activity"
이동,"movement, transfer, migration (one place to another)"
다운,"down, knockdown, be floored"
걸음,"step, pace, walk; action, initiative"
발걸음,"footstep, pace"
행위,"act, action, conduct (behavior with an intent)"
액션,action
자세,"posture, position, pose; attitude"
잘,well
사랑,love
데이트,date
바람둥이,"womanizer, playboy"
소개팅,blind date
맞선,"marriage meeting, blind date (specifically for marriage)"
미혼,"single, unmarried"
연애,"(behavior/act of) dating; (be in) love, romance, romantic relationship (with)"
매력,"charm, attractiveness, sex appeal"
정,"affection, attachment, emotion; really, truly; chisel; tablet, pill; rifle"
애교,"(personal) charm, childish cuteness (acting cute)"
짝사랑,"unrequited love, (secret) crush, one-sided love"
성격,"character, personality, nature"
이상형,ideal type
정신,"consciousness, mentality, mind, spirit; philosophy"
의식,"consciousness, being conscious of, aware, sense; ceremony, ritual"
영혼,"soul, spirit"
넋,"soul, spirit (less common/seems like mostly abstracts)"
귀신,"(evil/bad) ghost, apparition, spirit; demon (at)"
마음,"mind, heart, nature, personality"
마음속,"one's mind, one's heart, inside one's heart, innermost thoughts"
머릿속,"inside one's head, mind"
자기,"self, oneself, one, you; (slang) honey"
소개,introduction
자기소개,self-introduction
자신,oneself; self-confidence; alone
스스로,"oneself, (for/by) oneself; of one's own accord (formal)"
자체,"oneself, itself, being own"
혼자,alone
홀로,"(written) alone, by oneself, single-handedly"
사적,"private, personal; in person; historical site"
의리,"loyalty; justice, righteousness"
전환,"change, switch, transition (bigger macroscopic entities*country, enterprise, economy, political systems* / transition between male and female)"
자연,nature; naturally
천연,"natural (state)(unprocessed or cannot be changed by humans), naturalness; (can be used in comb. with other words)"
짓,"act, behavior (negative acts)"
행동,"behavior, action (moving your body to do an action/general behavior); conduct oneself, behave"
작용,"action, effect, act (as/on) (in a cause and effect sense), work (on), function"
주변,"surroundings, being around; being sociable, being a people person"
기분,"mood, feeling; atmosphere"
분위기,"atmosphere, mood"
공기,"air, atmosphere; atmosphere (mood); bowl"
가스,gas
태도,"attitude, manner; stance, position"
표현,"expression, express, show (one's feelings, thoughts)"
관심,"interest (in), concern (for), attention (interest is directed towards something pos/neg)"
흥미,"interest, curiousity (have positive interest towards something)"
느낌,"feeling, sensation, sense, hunch, impression"
감정,"feeling, emotion; grudge, animosity; appraisal, valuation, expert opinion"
눈치,"sense, wit; reading (sensing) the atmosphere or people's faces"
별일,"strange thing, special event, unusual occurrence, particular thing"
실례,"bad manners, rudeness; example, instance"
소문,"rumor, gossip"
비밀,secret
비밀번호,"password, PIN, personal identification number"
생각,"thought, idea"
아이디어,idea
상상력,imagination
믿음,"confidence, trust, faith; belief (religious)"
신용,"trust, credibility, confidence (in) (more official/business sounding but still any context)"
용기,"courage (the spirit of bravery), nerve, guts, spunk; container"
투혼,fighting spirit
종교,"religion, faith"
절,"Buddhist temple; deep bow; clause, verse, paragraph"
기억,memory
추억,memory (recollection of past event)
기념,"commemoration, memory, celebration"
영광,"honor, glory"
명예,"honor (recognized by the world as having good value), distinction, fame, reputation"
의견,"opinion, view, idea"
견해,"view, opinion, point of view (formal)"
주장,"opinion, claim, argument, assertion, contention; captain, leader"
소감,"thoughts (on), impression, opinion, feelings (positive only)"
입장,"position, stance, situation; admission"
관점,"point of view, perspective"
인상,"impression; look(s), features, appearance; raise, increase"
첫인상,one's first impression
호감,"good feeling, favorable impression"
복,"luck, good fortune; blessing, happiness; blowfish"
운,"luck, fortune, fate; rhyme; the start of a conversation"
행운,"good luck, good fortune, lucky break"
기적,"miracle, wonder; steam whistle"
운명,"fate, destiny"
모험,"adventure, risk"
위험,"danger, risk, hazardous"
기회,"chance, opportunity, time"
가능성,"possibility, likelihood, probability, chance; potential"
능력,"ability, capability, capacity (for), competence"
비전,"vision, future, prospect"
습관,"habit (smaller), habitual practice"
버릇,(Neg. conn.) habit; manners
관습,"habit (bigger), custom, convention"
굳이,"taking the trouble (to do something), persistently"
부탁,"request, ask a favor"
도움,"help, aid, assistance, support"
제공,"offer, provision, supply, provide"
입수,"acquisition, procure, obtain; entry into water"
뿌리,"root; root, origin"
진행,"progress, in the process of doing, proceed (moving forward)"
동안,"during, interval, while"
앞으로,from now on; forward
발전,"development, growth, progress, develop, advance(ment) (process of developing); electricity generation"
성장,"growth, devlopment"
혁명,revolution; innovation
과거,"the past, history; past tense"
역사적,"historical, being historic"
전설,legend (story)
옛날얘기,"folk tale, legend"
희망,"hope, wish, desire, be hopeful (interchangeable with 바라다 but used for slightly bigger/dire situations)"
소원,"wish (something specific), desire"
대체,"substitution, alternation, replacement; come to the point; at all, ever, (how/what/why) on earth, what the hell"
생물,"living thing, creature; biology"
애완동물,pet
동물,animal
물고기,fish
병 아리,chicks (animal)
강아지,puppy
고양이,cat
개,dog; counter
새,new; bird
토끼,rabbit
닭,chicken (living animal)
호랑이,"tiger; scary, a brute, a cruel person"
돼지,pig
벌레,"bug, insect; worm; hard worker"
모기,mosquito
원숭이,monkey
사자,"lion, lioness"
쥐,"rat, mouse; cramp, (muscle) spasm"
여우,"fox, vixen; actress"
곰,bear; slow person
거미,spider
오징어,"squid, cuttlefish"
파리,fly (bug); paris
소,"cow; filling (food related); small; claim, case"
오리,duck
개미,ant
새우,"shrimp, prawn"
나비,butterfly
잠자리,"dragonfly; bed, bed clothes, sleep with someone"
코끼리,elephant
개구리,frog
외계인,alien (extraterrestrial)
색깔,color
검은색,"black, a dark color"
검정,"black (night sky, no light)"
까만색,black
빨간색,red
흰색,(noun) white
하양,"white, whiteness, white tint"
하얀,"(adj) white, pale"
노랑,yellow (noun)
노란색,yellow
황색,"yellow (added to words? ""yellow sun"")"
연두색,light yellowish green (pea)
초록색,green
녹색,green
갈색,light brown
회색,gray
분홍색,pink
핑크,pink (more common)
빨강,"red, crimson, scarlet"
주황색,orange (color)
보라색,"violet, purple"
청색,blue
남색,"indigo, deep blue, navy"
하늘색,sky blue
밤색,"brown, chestnut"
고동색,reddish brown
파랑,"blue (noun); wave, ripple"
연보라,"light purple, violet"
하양색,white
옷,clothes
의류,"clothing, clothes (slightly more formal word)"
정장,"formal wear (outfit, dress, suit)"
교복,school uniform
제복,uniform
와이셔츠,dress shirt (white shirt)
티셔츠,t-shirt
원피스,dress
드레스,"dress, gown (fancier)"
코트,coat (like a trenchcoat)
외투,overcoat (seems bigger/not that common)
재킷,jacket (lighter/might be closer to high fashion styles)
조끼,vest
스웨터,sweater
블라우스,blouse
바지,pants
청바지,blue jeans
치마,skirt
반바지,shorts
속옷,underwear
스타킹,"stockings, pantyhose"
양말,socks
슬리퍼,slipper
신,"shoes (same as 신발), footwear; god; joy, delight"
구두,dress shoes
신발,"shoes, footwear"
운동화,"sports shoes, sneakers"
고무신,rubber shoes
장화,boots (dealing with weather eg rain boots); a long talk
부츠,boots
지갑,wallet
가방,bag
주머니,"pocket; bag, pouch; being full of (person full of)"
호주머니,pocket (less common)
벨트,belt (load/more common)
배낭,backpack
봉투,"envelope, bag"
장갑,(pair of) gloves
모자,"hat, cap; mother and son"
안경,"glasses, eyeglasses"
선글라스,sunglasses
목걸이,"necklace, choker"
목도리,scarf
스카프,scarf (more common)
반지,ring
귀걸이,earring
팔찌,"bracelet, wristlet"
넥타이,necktie
양복,suit
수영복,"swimsuit, bathing suit"
유행,"fashion, trend; outbreak, spread, be prevalent"
스타일,style
탈,"mask, disguise; sickness; snag, trouble; prefix meaning ""escaping"""
화장품,"cosmetics, makeup"
화장,"make-up, putting on cosmetics; cremation"
향수,"perfume, fragrance; homesickness, nostalgia"
거울,mirror; example
기술,"skill, technique, technology; description"
실력,"skill, ability, capability, talent (only tangible skills); force, strong action"
기능,"function, role; skill"
노릇,"role (act as a role), function; job, work (can be demeaning); situation, circumstances"
작동,operation (of a device)
재능,"talent, gift (for); genius, talented"
재주,"talent (for something that anyone can have with enough practice), skill, gift (for)"
전문,"specialty, specialize; the whole text"
장점,"advantage, strength, strong point"
단점,"weakness, flaw, shortcoming (personality or thing that has defective or negative aspects to it)"
어려움,"difficulty, trouble, problem, hardship"
부족,"tribe; shortage, lack, deficiency, insufficiency"
질문,"question, query"
조회,"inquiry (into), ask about something, check; morning meeting"
문제,"problem, question"
문제점,"problem, problem point (in something) drawback, the point in question"
물음,question (less common)
조사,"investigation, inquiry, look into, go over; poll, survey; postposition; eulogy"
귀띔,"hint, tip"
대답,"answer, response (closer to a general response to something)"
답장,"response, , reply, answer (written letter etc)"
호응,(positive) response
답,"answer (to), reply (to); answer; solution"
동의,"agreement, agreeing"
인정,"admitting, acknowledgement, accept"
승인,"approval, acknowledgement"
찬성,"approval, agreement, consent"
나머지,"the rest, the remainder; outcome, result"
결과,"result, outcome, consequence, effect"
성적,"grade, mark, results; sexual"
점수,"score, mark, grade; the number of items"
효과,"effect, efficiency, effectiveness"
영향,"influence, effect, impact"
감동적,"(noun) be moving, touching, impressive"
끝,"end, finish, close; point, edge"
강제,"coercion, by force"
주제,"subject, theme, topic"
예,"example; yes; here, this"
보기,example; view
경우,"case, circumstances, scenario; reasonable"
상황,"situation, state of things, circumstances, condition"
사정,"(neg) reason; situation, circumstance; beg, plead; ejaculation; inspection"
현상,"the present situation, phenomenon, existing circumstances, status quo; develop, have something developed; reward, bounty, prize"
상태,"condition, state"
큰일,"serious matter, major concern; big event, important occasion"
준비,"preparations, be (get) ready"
도구,"tool, instrument; means (of)"
수단,"means/tool, way, method; way(s), skill (specific means to achieve a purpose/means of...)"
방법,"way, method (how/general way to do something)"
방향,"direction, way, course"
편도,"one-way, each way (traveling context)"
사방,"all directions everywhere, 4 sides, all sides"
방식,"method, way, means"
식,"form, style; way; ceremony; expression (math)"
형식,"form, formality, convention; type, style, format, template, form"
양식,"style, pattern; Western-style food, food stores; form (document); good sense; culture, farming (of fish)"
과정,process (with checkpoints); (scholastic) course
목적,"purpose, aim, goal, objective"
용법,"usage, use; direction for use, instrucion for use in a certain way"
목표,"target, goal, aim, purpose, objective"
목적지,one's destination
의도,"intention, aim, purpose (focus on the speaker)"
의미,"meaning, sense, mean, signify, implication; importance"
이유,"reason, cause, excuse for"
이성,"reason (rational), rationality, intellect; the opposite sex"
핑계,"excuse, pretext (for doing something bad)"
변명,"excuse, justification"
원인,"cause, factor, reason"
논리,"logic, reasoning"
논리적,"being logical, reasoning"
계획,"plan (for), program, design"
명령,"order, command, instructions"
결정,"decision, make up one's mind, resolution; (formal) determination; crystal; fruit, result"
결심,"determination, resolution, decision"
설정,"set-up (decide on something), set (something); settings (options)"
막바지,"stubborn; last stage, final stage, last minute, final hours; dead end, bitter end (not common)"
가위바위보,rock-paper-scissors
책임,"responsibility, duty, obligation; blame, responsible (for)"
한발,one step (referenceing an action or event)
단계,"stage, phase, step"
종반,"the last phase (stage), last half"
후반,"second half, latter part"
성공,"success, succeed"
터,"site, lot, foundation, ground; (bound noun) one's plan, guess, will"
필수,"essential, required, requirements, necessities"
기초,"foundation, basis, base, basics, be based on, groundwork (can be physical in context)"
기본,"basis, foundation, basics, fundamentals; prerequisite, essential (slightly abstract)"
기준,"standard, criteria, basis"
기본적,"basic, fundamental"
바탕,"foundation (of), basis (of/for); background; nature, innate quality"
표준,"standard, criterion, average, norm"
구성,"composition, configuration, formation; form, comprise, make up (formal)"
수준,"level, standard, norm, average"
고급,"high rank, seniority, high class"
특징,"characteristics, (distinct) feature"
특성,"characteristic, nature, property, quality, attribute"
품질,quality
무조건,unconditional
상담,"advice, consultation, consult somebody about something; business talk"
조언,"advice, counsel, hint, tip"
자격,"qualificiation, right (to do); capacity"
조건,"condition (for), terms (of)"
선택,"choice, selection, select"
추천,"recommend, recommendation"
배려,"consideration (for), regard, care, thoughtfulness"
편,"(lean towards one)side, direction; party (group is split); chapter, section"
참고,"reference, refer (to)"
상징,symbol (expressing an abstract in a tangible way)
자료,"materials, data"
재료,"material, raw material, ingredient"
내용,"contents, substance, details, message"
정보,"information, report, data; intelligence"
분석,analysis
지식,"knowledge, understanding, know-how"
호,"number, unit; issue (newspaper, comic); arc; household, family"
안내,"guidance, information leaflet, announcement; introduction"
안내원,guide
공유,"sharing (of information, files etc.); public ownership"
규모,"scale, scope, systematic plan"
자,"ruler (triangle, square, t-square etc); letter, character; line; the Korean foot; man, person"
차례,"order, sequence; turn (your turn); table of contents; (counter) time (# of times); memorial service for ancestors"
순번,"turn, go (not common)"
순서,"order (sequential), sequence, procedure, process"
순차,"sequential, order"
랭킹,ranking
경향,"tendency, trend, inclination"
균형,"balance, equilibrium"
시리즈,series
구조,"structure, organization; rescue, save somebody"
시스템,system
합계,"sum, total, aggregate"
표,"ticket, vote; table, diagram; mark, sign"
선,line
점,"dot, point; viewpoint; fortune-telling; thing (specific aspect among many)"
빈칸,"blank space, blank column"
삼각,triangle
쪽,"side, specific direction; page"
곁,"side, beside, vicinity; close person"
면,"side, face; aspect, (in) respect (to); cotton; noodle"
사실,"fact, truth; actually, in fact, to be honest"
사실은,"in fact, the truth is, actually"
현실,"actuality, reality"
실제로,"in fact, actually, in reality, really, in effect"
생시,"reality; time of birth; being awake, day of one's life (not common)"
부주의,"carelessness, negligence, inattentive"
예외,exception
차별,discrimination; distinction
사고,"accident, mistake, "
우연,"coincidence, chance, fluke, accident"
엉망,"wreck, mess, bad shape"
사건,"incident, affair, event, case, accident"
실수,"mistake, error; breach of etiquette, discourtesy"
조심,"caution, beware of, careful"
위협,"threat, intimidation"
고장,"trouble (with), breakdown (in), failure (in); region, area, home"
거짓말,"lie, untrue"
부정,"denial, negation; corruption, dishonesty; unfaithfulness; paternal love"
오해,"misunderstanding, misconception"
후회,regret
가짜,"fake, imitation, forgery"
양다리,"two time, double-deal, both ways (also used in the context of cheating); both legs"
엉터리,"bullshit, rubbish, nonsense, fake, cheat"
의심,"doubt, suspicion, mistrust"
의문,"question, doubt (state of being doubtful)"
호기심,curious (desire to learn something new)
극찬,"high praise, compliment"
자존심,"self-respect, pride, self-esteem"
불만,"dissatisfaction, discontent, complaint"
짜증,"irritation (at/with), annoyance"
질투,"jealousy, envy (unfair that you don't have it)"
복수,revenge; plural (more than one)
욕심,"greed, desire"
열정,passion (continuous)
야망,"ambition, aspiration"
집착,obsession
마음대로,"as one pleases, as one likes, at will, at one's convenience (neutral connotation/pos or neg context)"
의지,"will, volition; leaning, support; reliance, dependence"
적극적,"(being) positive, active, aggressive, enthusiastic"
인내심,"patience, endurance, perserverance"
환대,"hospitality, (warm) welcome"
인심,"one's mind, one's heart; caring, compassion; spirit of the people (not common but usually ?generous?)"
통일,"unity, unify, unification (things that were split become one); standardize, concentration"
종합,"combined, aggregated (overall, comprehensive,), integrated, synthesis, putting together relevant things together into one"
종류,"kind, type, sort, category"
종,"species, kind, type; bell; slave, servant"
화제,"topic, subject of conversation; title"
말,"speech, words, language; horse"
어휘,"vocabulary, stock of words"
단어,"words, vocabulary"
한마디,a word (singular)
욕,"swear word, insult, abusive language; badmouth; shame, disgrace"
검색어,search term
통신,"communication, correspondence; report, dispatch"
번역,translation
자막,subtitles; caption
발음,pronunciation
이야기,"conversation, talk, speak, tell"
대화,"conversation, talk (with), dialogue, talk (about)"
수다,chatter (noun)
친구,friend
전 남자친구,ex-boyfriend
남친,boyfriend
남자친구,a boyfriend
여자친구,girlfriend
인,person
애인,"lover, gf/bf"
신랑,groom
어른,adult (handles the resp. of an adult); one's senior
성인,"adult, grown-up, someone of legal age (formal); saint"
아줌마,"ma'am, middle aged woman"
아주머니,middle aged woman; aunt
아저씨,"mister, middle-aged man, uncle"
아가씨,"miss, young lady"
소녀,young girl (teenage)
계집아이,girl (child) (talking about your child to others)
소년,boy (teenager)
십대,"teenage, teens"
청소년,"teenager, youth, adolescent"
선배,senior (often at the same education or workplace)
후배,one's junior (at school or workplace)
연하,"younger, junior, younger person"
청년,"young man, young people, youth"
교포,ethnic Korean living abroad
신사,gentleman
미인,beautiful woman (face or figure)
